# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Frantic Confrontation | {X}{R} | Instant | - |  | Target creature you control gets +X/+0 and gains first strike and trample until end of turn.
Gift of Compleation | {1}{B} | Enchantment | - |  | When this enchantment enters, incubate 3. / Whenever a Phyrexian you control dies, surveil 1.
Coral Sword | {R} | Artifact - Equipment | - |  | Flash / When this Equipment enters, attach it to target creature you control. That creature gains first strike until end of turn. / Equipped creature gets +1/+0. / Equip {1}
Seeker's Folly | {2}{B} | Sorcery | - |  | Choose one — / • Target opponent discards two cards. / • Creatures your opponents control get -1/-1 until end of turn.
Trusty Boomerang | {1} | Artifact - Equipment | - |  | Equipped creature has "{1}, {T}: Tap target creature. Return Trusty Boomerang to its owner's hand." / Equip {1}
Warren Torchmaster | {1}{R} | Creature - Goblin Warrior | - |  | At the beginning of combat on your turn, you may blight 1. When you do, target creature gains haste until end of turn.
Orbital Plunge | {3}{R} | Sorcery | - | RMVL | Orbital Plunge deals 6 damage to target creature. If excess damage was dealt this way, create a Lander token.
Wail of War | {2}{B} | Instant | - |  | Choose one — / • Creatures target opponent controls get -1/-1 until end of turn. / • Return up to two target creature cards from your graveyard to your hand.
Faller's Faithful | {2}{B} | Creature - Human Wizard | - | WIZ | When this creature enters, destroy up to one other target creature. If that creature wasn't dealt damage this turn, its controller draws two cards.
Seize the Storm | {4}{R} | Sorcery | - |  | Create a red Elemental creature token with trample and "This token's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards 
June, Bounty Hunter | {1}{B} | Legendary Creature - Human Mercenary | - |  | June can't be blocked as long as you've drawn two or more cards this turn. / {1}, Sacrifice another creature: Create a Clue token. Activate only during your turn.
Moonglove Extractor | {2}{B} | Creature - Elf Warlock | - |  | Whenever this creature attacks, you draw a card and lose 1 life.
Mica, Reader of Ruins | {3}{R} | Legendary Creature - Human Artificer | - | CAST-TRIG,COPY | Ward—Pay 3 life. / Whenever you cast an instant or sorcery spell, you may sacrifice an artifact. If you do, copy that spell and you may choose new targets for the copy.
Lightless Evangel | {1}{B} | Creature - Vampire Cleric | - |  | Whenever you sacrifice another creature or artifact, put a +1/+1 counter on this creature.
Canyon Crawler | {4}{B}{B} | Creature - Spider Beast | - |  | Deathtouch / When this creature enters, create a Food token. / Swampcycling {2}
Strangle | {R} | Sorcery | - | RMVL | Strangle deals 3 damage to target creature or planeswalker.
Savanti Romero, Time's Exile | {3}{B}{B} | Legendary Creature - Demon Wizard | - | WIZ | Trample / At the beginning of combat on your turn, put a +1/+1 counter on Savanti Romero. Then you draw X cards and lose X life, where X is the number of counters on Savanti Romero.
Plundering Pirate | {2}{R} | Creature - Orc Pirate | - | TREAS | When this creature enters, create a Treasure token.
Visions of Villainy | {2}{B} | Instant | - |  | This spell costs {1} less to cast if you control a Villain. / You draw two cards and lose 2 life.
Incinerating Blast | {4}{R} | Sorcery | - | RMVL | Incinerating Blast deals 6 damage to target creature. / You may discard a card. If you do, draw a card.
Tragedy Feaster | {2}{B}{B} | Creature - Demon | - |  | Trample / Ward—Discard a card. / Infusion — At the beginning of your end step, sacrifice a permanent unless you gained life this turn.
Slagdrill Scrapper | {R} | Artifact Creature - Robot Scout | - | CANTRIP | {2}, {T}, Sacrifice another artifact or land: Draw a card.
Shadow Urchin | {2}{B/R} | Creature - Ouphe | - |  | Whenever this creature attacks, blight 1. / Whenever a creature you control with one or more counters on it dies, exile that many cards from the top of your library. Until your next end step
Crackling Cyclops | {2}{R} | Creature - Cyclops Wizard | - | WIZ,CAST-TRIG | Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn.
Harried Spearguard | {R} | Creature - Human Soldier | - |  | Haste / When this creature dies, create a 1/1 black Rat creature token with "This token can't block."
Saw | {2} | Artifact - Equipment | - | CANTRIP | Equipped creature gets +2/+0. / Whenever equipped creature attacks, you may sacrifice a permanent other than that creature or this Equipment. If you do, draw a card. / Equip {2}
Monoist Sentry | {B} | Artifact Creature - Robot | - |  | Defender
Enraged Flamecaster | {2}{R} | Creature - Elemental Sorcerer | - | CAST-TRIG,PING | Reach / Whenever you cast a spell with mana value 4 or greater, this creature deals 2 damage to each opponent.
Kumano Faces Kakkazan // Etching of Kumano | {R} | Enchantment - Saga // Enchantment Creature — Human Shaman | - | PING | / I — This Saga deals 1 damage to each opponent and each planeswalker they control. / II — When you next cast a creature spell this turn, that creature enters with an additional +1/+1 counte
Rooftop Percher | {5} | Creature - Shapeshifter | - |  | Changeling / Flying / When this creature enters, exile up to two target cards from graveyards. You gain 3 life.
Soul-Shackled Zombie | {3}{B} | Creature - Zombie | - |  | When this creature enters, exile up to two target cards from a single graveyard. If at least one creature card was exiled this way, each opponent loses 2 life and you gain 2 life.
Mechanical Mobster | {3} | Artifact Creature - Human Robot Villain | - |  | When this creature enters, exile up to one target card from a graveyard. Target creature you control connives.
Chandra's Embercat | {1}{R} | Creature - Elemental Cat | - | MANA | {T}: Add {R}. Spend this mana only to cast an Elemental spell or a Chandra planeswalker spell.
Goatnap | {2}{R} | Sorcery | - |  | Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If that creature is a Goat, it also gets +3/+0 until end of turn.
Boar-q-pine | {2}{R} | Creature - Boar Porcupine | - | CAST-TRIG | Whenever you cast a noncreature spell, put a +1/+1 counter on this creature.
Starforged Sword | {4} | Artifact - Equipment | - |  | Gift a tapped Fish / When this Equipment enters, if the gift was promised, attach this Equipment to target creature you control. / Equipped creature gets +3/+3 and loses flying. / Equip {3}
Alchemist's Assistant | {1}{B} | Creature - Monkey | - |  | Lifelink / Renew — {1}{B}, Exile this card from your graveyard: Put a lifelink counter on target creature. Activate only as a sorcery.
Judgment Bolt | {3}{R} | Instant | - | RMVL | Judgment Bolt deals 5 damage to target creature and X damage to that creature's controller, where X is the number of Equipment you control.
Fleeting Effigy | {R} | Creature - Elemental | - |  | Haste / At the beginning of your end step, return this creature to its owner's hand. / {2}{R}: This creature gets +2/+0 until end of turn.
Deadly Embrace | {3}{B}{B} | Sorcery | - | RMVL | Destroy target creature an opponent controls. Then draw a card for each creature that died this turn.
Dark Endurance | {1}{B} | Instant | - |  | This spell costs {1} less to cast if it targets a blocking creature. / Target creature gets +2/+0 and gains indestructible until end of turn.
Pirate Peddlers | {2}{B} | Creature - Human Pirate | - |  | Deathtouch / Whenever you sacrifice another permanent, put a +1/+1 counter on this creature.
Elder Auntie | {2}{R} | Creature - Goblin Warlock | - |  | When this creature enters, create a 1/1 black and red Goblin creature token.
Full Bore | {R} | Instant | - |  | Target creature you control gets +3/+2 until end of turn. If that creature was cast for its warp cost, it also gains trample and haste until end of turn.
Abyssal Gorestalker | {4}{B}{B} | Creature - Horror | - |  | When this creature enters, each player sacrifices two creatures of their choice.
Light of Judgment | {4}{R} | Instant | - | RMVL | Light of Judgment deals 6 damage to target creature. Destroy up to one Equipment attached to that creature.
Saheeli's Lattice // Mastercraft Raptor | {1}{R} | Artifact // Artifact Creature - Dinosaur | - |  | When this artifact enters, you may discard a card. If you do, draw two cards. / Craft with one or more Dinosaurs {4}{R} / // / Mastercraft Raptor's power is equal to the total power of the e
Raphael, Ninja Destroyer | {2}{R}{R} | Legendary Creature - Mutant Ninja Turtle | - |  | Raphael must be blocked if able. / Enrage — Whenever Raphael is dealt damage, add that much {R}. Until end of turn, you don't lose this mana as steps and phases end.
Infernal Vessel | {2}{B} | Creature - Human Cleric | - |  | When this creature dies, if it wasn't a Demon, return it to the battlefield under its owner's control with two +1/+1 counters on it. It's a Demon in addition to its other types.
Excavated Wall | {1} | Artifact Creature - Wall | - |  | Defender / {1}, {T}: Mill a card.
Sear | {1}{R} | Instant | - | RMVL | Sear deals 4 damage to target creature or planeswalker.
Kolaghan Warmonger | {2}{R} | Creature - Ogre Warrior | - |  | Haste / Whenever this creature attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your 
Foul Roads |  | Land | - | LAND | This land enters tapped unless you control a Mount or Vehicle. / {T}: Add {B}. / {1}{B}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts
End-Blaze Epiphany | {X}{R} | Instant | - |  | End-Blaze Epiphany deals X damage to target creature. When that creature dies this turn, exile a number of cards from the top of your library equal to its power, then choose a card exiled th
Zhao, Ruthless Admiral | {2}{B/R}{B/R} | Legendary Creature - Human Soldier | - |  | Firebending 2 / Whenever you sacrifice another permanent, creatures you control get +1/+0 until end of turn.
Blooming Blast | {1}{R} | Instant | - | RMVL,TREAS | Gift a Treasure / Blooming Blast deals 2 damage to target creature. If the gift was promised, Blooming Blast also deals 3 damage to that creature's controller.
Glimmerlight | {2} | Artifact - Equipment | - |  | When this Equipment enters, create a 1/1 white Glimmer enchantment creature token. / Equipped creature gets +1/+1. / Equip {1}
Loyal Fire Sage | {2}{R} | Creature - Human Cleric Ally | - |  | Firebending 1 / {5}: Create a 1/1 white Ally creature token.
Bombard | {2}{R} | Instant | - | RMVL | Bombard deals 4 damage to target creature.
Sandman's Quicksand | {1}{B}{B} | Sorcery | - |  | Mayhem {3}{B} / All creatures get -2/-2 until end of turn. If this spell's mayhem cost was paid, creatures your opponents control get -2/-2 until end of turn instead.
Witchstalker Frenzy | {3}{R} | Instant | - | RMVL | This spell costs {1} less to cast for each creature that attacked this turn. / Witchstalker Frenzy deals 5 damage to target creature.
Carrion Cruiser | {2}{B} | Artifact - Vehicle | - |  | When this Vehicle enters, mill two cards. Then return a creature or Vehicle card from your graveyard to your hand. / Crew 1
Undercity Eliminator | {3}{B}{B} | Creature - Gorgon Assassin | - | RMVL | When this creature enters, you may sacrifice an artifact or creature. When you do, exile target creature an opponent controls.
Goblin Gang Leader | {2}{R}{R} | Creature - Goblin Warrior | - |  | When this creature enters, create two 1/1 red Goblin creature tokens.
Hearth Elemental // Stoke Genius | {5}{R} // {1}{R} | Creature - Elemental // Sorcery — Adventure | - |  | This spell costs {X} less to cast, where X is the number of cards in your graveyard that are instant cards, sorcery cards, and/or have an Adventure. / // / Discard your hand, then draw two c
